bioguide_id,Bridge Grade,House Member,District,Party,Bridge Score,Category,raw_A,normdisn_A,points_A,raw_B,normdisn_B,points_B,raw_D,normdisn_D,points_D,raw_E,normdisn_E,points_E,raw_F1,normdisn_F1,points_F1,raw_F2,normdisn_F2,points_F2,raw_G,normdisn_G,points_G,raw_H,normdisn_H,points_H,raw_I1,normdisn_I1,points_I1,raw_I2,normdisn_I2,points_I2,raw_K,normdisn_K,points_K,raw_L,normdisn_L,points_L,score_T,party_match,calc_M,normdisn_M,multiple_M,calc_N,normdisn_N,multple_N,calc_O,normdisn_O,multiple_O,multiple_M1,adj_score_S,VV_ideology,PRL_ideology,ideology_score,label,2024 Election Status
P000608,A, Scott H. Peters,CA-50,D,97.10,Bridger,26.00,98.96,98.96,12.00,73.74,36.87,0.13,71.77,107.65,13.47,39.09,39.09,195,70.72,53.04,9.14,86.27,64.70,10.00,98.57,49.29,20,78.88,39.44,9.14,86.27,64.70,0.46,28.41,53.69,40,98.92,49.46,-0.028,45.34,22.67,706.20,1.00,14.38,52.81, 5.28 ,0.19, 4.51 ,0.23,1.59,48.77,2.44,107.9%,762.31,-0.191,-1.587, (50.54), Scott H. Peters (D) - CA-50,running
T000483,A, David J. Trone,MD-06,D,96.87,Bridger,38.00,100.00,100.00,20.00,95.97,47.99,1.00,93.75,140.62,14.82,43.40,43.40,147,56.01,42.01,7.12,70.35,52.76,10.00,98.57,49.29,20,78.88,39.44,7.12,70.35,52.76,0.14,23.35,57.49,50,99.89,49.94,0.234,75.28,37.64,724.99,1.00,1.97,8.92, 0.89 ,0.34, 24.18 ,1.21,1.55,46.26,2.31,104.4%,756.99,-0.341,-1.551, (59.74), David J. Trone (D) - MD-06,senate candidate
G000592,A, Jared F. Golden,ME-02,D,96.86,Bridger,12.00,63.24,63.24,20.00,95.97,47.99,0.95,93.07,139.61,49.73,99.66,99.66,73,32.40,24.30,12.76,98.18,73.64,10.00,98.57,49.29,20,78.88,39.44,12.76,98.18,73.64,0.34,26.45,55.16,20,78.05,39.02,0.349,84.96,42.48,754.27,0.00,5.57,17.50, 1.75 ,0.10, 1.10 ,0.06,0.69,5.77,0.29,100.3%,756.86,-0.101,-0.690, (25.60), Jared F. Golden (D) - ME-02,running
L000599,A, Michael Lawler,NY-17,R,96.85,Bridger,9.69,50.48,50.48,30.00,99.91,49.96,2.21,99.80,149.71,16.83,49.98,49.98,924,100.00,75.00,11.51,95.97,71.98,10.00,98.57,49.29,20,78.88,39.44,11.51,95.97,71.98,0.88,35.76,48.18,40,98.92,49.46,0.251,76.89,38.44,754.73,0.00,2.88,10.72, 1.07 ,0.19, 4.21 ,0.21,0.26,1.06,0.05,100.3%,756.71,0.186,0.265, 20.70 , Michael Lawler (R) - NY-17,running
T000467,A, Glenn Thompson,PA-15,R,96.75,Bridger,12.00,63.24,63.24,19.00,94.62,47.31,0.82,91.06,136.58,37.23,95.32,95.32,176,65.15,48.86,5.75,56.20,42.15,10.00,98.57,49.29,20,78.88,39.44,5.75,56.20,42.15,0.13,23.20,57.60,5,35.64,17.82,0.334,83.86,41.93,689.05,1.00,20.79,78.87, 7.89 ,0.34, 22.96 ,1.15,0.82,8.90,0.45,109.5%,754.37,0.335,0.822, 44.24 , Glenn Thompson (R) - PA-15,running
N000193,A, Zachary Nunn,IA-03,R,96.41,Bridger,9.69,50.48,50.48,29.00,99.86,49.93,1.90,99.44,149.16,16.83,49.98,49.98,267,87.21,65.41,12.13,97.25,72.94,10.00,98.57,49.29,20,78.88,39.44,12.13,97.25,72.94,0.05,22.02,58.49,10,50.50,25.25,0.189,70.74,35.37,732.58,1.00,2.52,9.98, 1.00 ,0.29, 14.96 ,0.75,0.69,5.78,0.29,102.0%,747.49,0.290,0.691, 38.24 , Zachary Nunn (R) - IA-03,running
C001121,A, Jason Crow,CO-06,D,96.18,Bridger,38.00,100.00,100.00,18.00,92.92,46.46,-0.26,55.74,83.61,22.32,67.38,67.38,172,63.92,47.94,9.05,85.72,64.29,10.00,98.57,49.29,20,78.88,39.44,9.05,85.72,64.29,1.47,46.98,39.77,20,78.05,39.02,0.2,71.88,35.94,690.77,1.00,9.01,29.38, 2.94 ,0.33, 22.36 ,1.12,1.91,69.87,3.49,107.5%,742.93,-0.332,-1.908, (64.86), Jason Crow (D) - CO-06,running
C001114,A, John R. Curtis,UT-03,R,95.79,Bridger,26.00,98.96,98.96,12.00,73.74,36.87,0.18,73.57,110.36,39.18,96.69,96.69,94,38.82,29.12,5.13,49.39,37.04,10.00,98.57,49.29,20,78.88,39.44,5.13,49.39,37.04,0.00,21.30,59.03,20,78.05,39.02,0.135,64.83,32.42,682.15,1.00,13.08,46.90, 4.69 ,0.45, 49.80 ,2.49,0.98,14.24,0.71,107.9%,735.99,0.446,0.983, 54.82 , John R. Curtis (R) - UT-03,senate candidate
D000230,A, Donald G. Davis,NC-01,D,95.46,Bridger,9.69,50.48,50.48,30.00,99.91,49.96,2.21,99.80,149.70,16.83,49.98,49.98,201,72.39,54.29,7.77,76.24,57.18,10.00,98.57,49.29,20,78.88,39.44,7.77,76.24,57.18,0.00,21.30,59.03,50,99.89,49.94,0.932,99.76,49.88,715.76,1.00,2.05,9.07, 0.91 ,0.27, 12.49 ,0.62,0.87,10.21,0.51,102.0%,730.37,-0.273,-0.867, (42.08), Donald G. Davis (D) - NC-01,running
D000624,A, Debbie Dingell,MI-06,D,95.13,Bridger,27.00,99.29,99.29,12.00,73.74,36.87,0.12,71.20,106.80,8.41,24.40,24.40,329,95.01,71.25,5.56,54.12,40.59,10.00,98.57,49.29,20,78.88,39.44,5.56,54.12,40.59,0.15,23.50,57.38,50,99.89,49.94,-0.192,26.82,13.41,665.15,1.00,10.89,37.16, 3.72 ,0.40, 37.59 ,1.88,1.89,68.56,3.43,109.0%,725.16,-0.399,-1.886, (68.22), Debbie Dingell (D) - MI-06,running
